sha256,filename,page_no,method,char_count
ec95159a69e4936a9d6381d6dac81e35f1fc56cb5281353ad662fba290e61fbe,MangoTree Properties (00379797xBDBF4).xlsx,1,xlsx,2242
8390e65444cf30727717bff9b3392b3c39bca500db8e15dbb1e293eb98402245,Flipping properties in Long Island Metro New York Area.docx,1,docx,4148
2a709f03dca5888308333806b8e0e0a8a7ff26ead695cf7ef1a9045bfbe9476c,Mediation.docx,1,docx,3300
3449d20c292cbcbad29682da50f8cf249c05b7a4cd054b5fcaf0858271823fda,Expense and rent schedule template.xlsx,1,xlsx,7389
20b4caa75045180b7c03208d4c34958ddbc9394648bdccf8f3b44a88e5ab68fb,"4824-6364-0562 1 MangoTree Properties (00379797xBDBF4) (Schedule
 A).xlsx",1,xlsx,2419
373dff72d94f5b9859016c6ab795a564c9255f5567f94740a39252ccc259e7ff,Form for Properties in name of MangoTree.docx,1,docx,806
beeefd25840e3f0d4d03094fcfadff046ab0f21dc826e81c0ba0ee57fd25c600,Opportunity Zone Job ledger June 30 2021.xlsx,1,xlsx,12900
9e0d45b03130ef193ea14ef51d9ddc779b1607f811ddc7c77bac39c1d657c6d3,Reconciliation of 225 Ruby Road Final settlement sheet.xlsx,1,xlsx,2123
242bc6647a4c45910ed77faf195c9e261590677991e1467475d58de0c0335037,MOU-Exhibit A (00379974xBDBF4).xlsx,1,xlsx,2419
0fd464a762ff8993506782d60f0c3f27fe37353b2ed52ed2ba9b5a80e8cce200,"6 225 Ruby Rd, Kingston    final Settlement Sheet
     Mangotree.xlsx",1,xlsx,1456
c613180ffe2e4a4e93bc2b4674fa2e8a358d5f01677e8cf97cb4160d69efb31b,"4810-7383-3726 1 1614 12th Ave - Clause to Add to Settlement
 Agreement..docx",1,docx,1017
f070b9d186aeb72eb038582d6f56ee05a33a60bd92b1bb0a044798a9b7f974e3,Mangotree Rents due for August 2021.xlsx,1,xlsx,2478
c289fc12f281b197dfda601819db6fadaea809b85f856e1893717c4b1fd9ad00,170 West Tiana.docx,1,docx,460
b3819e53f94480daa6f01fcf60d75f168542bb0f9cebd4c23f3f837d50d2239c,12 Mallard Path.docx,1,docx,567
78c3df1c89041f3572230eae2014c84f4092ede3c30e57c12277b5cd5e24c63a,"4813-1305-3409 1 First letter to all limited partners revised
 3.11.21 (clean).docx",1,docx,746
f0f4e910295ffd926cb3b286d80655c72bcd474c21fba75d803cc9c5d5212d2a,"4813-1305-3409 1 First letter to all limited partners revised
 3.11.21 (clean).docx",1,docx,1035
0944b118fb64b472e1f55e2f48a59f34e61d564160ae5cca728b9f95b4e50a59,33 Olive St.docx,1,docx,1153
8b9e4c26ac6d46499169131b1763b7d9064818f8ac475785202122b7b31eded3,33 Olive St.docx,1,docx,1152
95bdc212ccd05582bb2961cd2b76a81de7a925c47e76bbdd666a34677181ea35,"4833-7506-0960 1 Notice of Discontinuance against SZRG, Zambratto
 and Dragone.docx",1,docx,2024
c5a040c7345da214808dc66491078e6d2438ad46ed46da4c75d9ef64e6485c3b,Comments to simple operating agreement 4860-8636-8773 v.1.docx,1,docx,2286
23d9390591a6b601085f8304df9ed18e82769611972b6756185ba9f518d0892d,"Mangotree Rents wired to Attorney Escrow Apr 16, 2021
 (00369991xBDBF4).xlsx",1,xlsx,1282
5ba35aa3a80688e19794b0f33de76d26d4c0aa78c64213e5c1422e8bb18f40ef,1614 12th Ave - RCB proposed revisions (00387595xBDBF4).docx,1,docx,1867
5ddbf1b0c4e321cdb779be9517715e52398c0ea11e47665886868ce5c38af2d2,"4814-4502-2959 1 MTREH Partner Litigation Update 1 (002) (BP
 Edit).docx",1,docx,1313
46a3a65dbb29e0dfff97084fda55ce7aa76f07f5ad367b35185f61c52f913ea6,MT Write Up.docx,1,docx,9710
eeef0dafe550d66c670c7bf38f9415c23f1134fe082d8e27dda108832c949ccf,"66 Chanel Dr E, Shirley        Closing Statement.xlsx",1,xlsx,7733
ad63eab597b4970f7af8ab6f60c9ad298d9655729740d3a38ae4fc42298d73bc,12 Mallard Path.docx,1,docx,567
d1724cd6228ff5e52d2d110e5aa051765a422d5e83cb2065550c0de1efcad092,"225 Ruby Rd, Kingston Settlement Sheet MT ALL EXPS &
 PROCEEDS.xlsx",1,xlsx,8496
2949937b3cbb5498c4514cb04b4f8487951637d655872e1a4b587a889503f68f,MT Write Up.docx,1,docx,11134
8c914364078f742b3a34a6f7d3ede99812e0d342bfcd3fbcad057ad351b0b5cc,Scope of Services.docx,1,docx,10387
1648bd6bb62f684b4f20a9956028602f3f2d8f400fd1e426d8adada43e3b814b,"4843-6179-9421 2 Stipulation and Order (Post 9.29.21
 Mediation).docx",1,docx,5355
4fede643af0b2b7c96ab0c954d99001fc0a0b2d82e79c8b8f5a59015bafe41a8,Stipulation and Order (Post 9.29.21 Mediation) - Exhibit B.docx,1,docx,5355
4fdd760b6610c790b409cec0d54021bf5e5f418abdeb53cdf2a4a6b30ad0e285,"31 Pineview Blvd, Central Islip accounting as of Jan 22,
 2020.xlsx",1,xlsx,5513
49eff99e23476af5fe93aa405559c8c256867b6a2be29ec5d12d6b046bca8b9e,4841-1510-3202 1 List of Exhibits to the OTSC.docx,1,docx,4386
70edea52dc5ad099d684bc7fab13160a83b262cd456533673079c09462435e51,294 Leaf Ave.docx,1,docx,3103
04517ffc56d12f14a67ef356230d37e4a12abb53d683401e8e926ca2cbc366ed,147 Eagle Hill.docx,1,docx,1175
9b3e5ca5016c238e7c7bc59d02fbcb698e4f49784dd7428b206fc6583400ee21,4824-1045-0154 1 Agreement to Pay Legal Fees.docx,1,docx,7239
93a960e84c1d7e8a0b0f1ca3c40cc53913b418fb19d48439617a150bbf864cd4,35 Dogwood Rd.docx,1,docx,1305
871c4fd15008941a77e3173b3f56f1d4a36719e0730d3bd9d7c6b8b2a604f811,20 Whitman Ave.docx,1,docx,1148
00a7c991936b978a41c658a7510caa124ec510d1e20b3dce25d3073341ee5d5e,453-B Falmouth.docx,1,docx,1189
3f1a63d4349652c873b1b353e18d55e8cf90b3178f12884915a308b9788db731,4817-6238-7937 1 Order to Show Cause.docx,1,docx,6715
5310bc9be0829625f46d1ff4ec07dac8d0ba642594c63fae1b8befcbd302f249,169 Southfield.docx,1,docx,1482
c164ce7e9f62aa3b637edbbe75b80d430e63e3c17c1274f1a5f663526f0cdac7,35 Dogwood Rd.docx,1,docx,1305
630900ab21fc24d6e418589a6d4639458859c219b357c30fde434c2ce9ba19ba,147 Eagle Hill.docx,1,docx,1513
376bf08b49514d406de2a21f47ab59c0be56c77d930d65c43daebc0824ea9e41,MOU-10-18-22 (00431801-3xBDBF4).DOCX,1,docx,13728
b107608c1399f49ecf9cc92d95a06e9374d8f931faab267436d1e66f4ae35821,170 West Tiana.docx,1,docx,590
187fffbc6600b6821c7c364d6f0dd2e3e18ef31a0ca689e2540814bf5742d02c,453-B Falmouth.docx,1,docx,1318
ff95b4cc1403c6a3936de706067f90546a2a804de0e4ee8cea872bb3ce2a4128,64 N 16th St.docx,1,docx,2549
5716177f7e1b06eb1a7d2131ad55814699d37f645ea42b8e9502c63e3ef12352,294 Leaf Ave.docx,1,docx,3227
121fb2a2daa449d0e8929dd76dc4bd23e8d7758029964250fe0c4d13669be735,20 Whitman Ave.docx,1,docx,1383
7c4524abc9b065321f449a61e10bba18d8eec4ceddcda5930ab9fafde296be5b,4817-6238-7937 1 Order to Show Cause.docx,1,docx,8010
2e8991124e1a5489ef3aa8ca9f1e483bdbc9157acb1ad1b572cab8846cbb9da7,4841-9736-7271 1 Mediation and Standstill Agreement.docx,1,docx,12865
63685f0a3b8a3361f8b2345182d5c768190fec14d56df9469f20d08d58570ae9,169 Southfield.docx,1,docx,2082
41d89ea30139096ded5ad8dbb4675c8cbe8bf8f96c71a7d376cedbba192f15bd,"51 Valentine, Glen Cove Closing Statement  MT.xlsx",1,xlsx,8129
cac106ac50fc7ebe6f1d5f051ed5d243147b4b6d950f8c42b90c48ebee0beebd,64 N 16th St.docx,1,docx,3306
269ab1d5cbb778e675c18af1feaf9d954bc88878cab1baef17d90f3c9eb61b3e,4841-3776-2019 1 TRO Stipulation-04-02-21 (00368210-3xBDBF4).docx,1,docx,4337
ae4b876bd0ba427957a7398d7998dfcec2a4a81bca888995fdb5d6dc07bcb8ad,85 Hudson Expences.xlsx,1,xlsx,17979
8a32135e6e7dab635db0b8fd05063ab80223cc8a4bc36088caf5aa6c3ed2c52b,"4877-0384-9887 1 Buy Out and Release (47 Wilson)-RCB edits-01-29-24
 (00471438xBDBF4).DOCX",1,docx,9880
a69b734009fba06a9e049fd04eb8f26fe996b3dee775cee7a6a9868ab45cc032,"4831-1463-2424 1 Mediation and Standstill Agreement-(Final for
 Signatures).docx",1,docx,14806
95cea06017c66e741af28a3e84fa43940989951c24b3ced1710b5f37352679d4,MOU-07-07-21 (00378595-6xBDBF4).docx,1,docx,16740
083097835ffd96ec3ae26b2d76f42a7f5187fed7f3783cc5f310e51e4ec23f46,MOU-Compare Ver6 to Ver7 (FINAL) (00379973xBDBF4).docx,1,docx,16970
74ea18983f5ddc1c1a475046ad4eeada663270360b11bf3def811a2f5f3daf94,"4852-7377-0482 1 4837-6263-3969 1 MOU-Compare Ver3 to Ver4
 (00379335xBDBF4) bp 7.14.2021.docx",1,docx,16652
eb171a07140f33fd2e091748451a19954259ca34d293ae99e7f2e5bb65412fc1,MOU Compare Ver 5 and 6_07-19-2021 (00379879xBDBF4).docx,1,docx,16740
3dc065455ed732cdc4b14892549ae9c02d9988da9d12a702595afa4fcace63c1,"Mediation and Standstill Agreement-RCB Revisions-05-3-21
 (00371638-2xBDBF4).docx",1,docx,14806
c5e304aba38900273868f099de52dbb12e4de1e5595b5b0b4fabb4bf4e0e9160,"4838-6787-7618 1 MOU-07-07-21 (00378595-6xBDBF4) bp edit
 7.20.21.docx",1,docx,16760
065c5c19d9d3234703de6c60ce34d0b819a8fcb785b100a803a16e80d95cab95,"4849-6461-3084 1 OTSC - Request for Information and.or
 Documents.docx",1,docx,2872
e8b558df5f5252c831f64c8c4b6db78611be241daba4bb12948aff64abeef39b,"4820-8715-5954 1 4852-7377-0482 1 4837-6263-3969 1 MOU-Compare Ver3
 to Ver4 (00379335xBDBF4) bp 7.14.2021 (003).docx",1,docx,16547
608459bce8621c63d854220b17751c72626eea7793c21b311fc6ba179e722168,"4817-6436-3761 1 MOU-07-07-21 (00378595-3xBDBF4) (002) bp edit
 7.12.2021.docx",1,docx,14411
e8befa6a8cad7c5862435c5ac904ee57f9c951dbd882492fc7aad92d3764d835,MOU-07-07-21 (00378595-3xBDBF4) (002).docx,1,docx,14015
5e65fad070b14fb84a565e839fbbd82fa6a13c36b62f7ea744b2bfa55f0f0e34,Exhibit E.jpg,1,ocr,219
57b108990ee3415255baeb6e607242abdcba4c928f24815c22d292667c679475,4891-4309-7663 1 Exhibit A 11.17.22.xlsx,1,xlsx,3554
124c80327682eae0fa04dff63141d2d99794b460560b5f6df7971e84ad849f8a,IPA Escrow Funds 9019 DRAFT.docx,1,docx,15810
cd225cd6195bb8256a18a42929a8c576484b29fc626f1a62f27d689962e983e1,"4838-7176-0096 1 Letter - (dismissing defendants re 39
 Pilgrim).docx",1,docx,1366
a4fa0061ebea9c907cc9b51c5d34afa0be44a63d25e1887bc05a3319ed04da11,Exhibit E.jpg,1,ocr,217
8c4aa729fde48cd18b25fac27f986f76711c758782286d783bf415d6891bb5b3,Third Amended Plan.docx,1,docx,26093
397a5abf41a4912f50b82a4899aeec23b8b37387c37e73c81cd9b8969849e4f2,Third Amended Plan.docx,1,docx,26353
710dc03176435d960d742b28ffb3723b65b769d4f9ea916eeb7568f6c0ae2819,"Campisi Aff in Further Support of Cross-Motion for Summary Judgment
 (4200 words).docx",1,docx,27161
b606e791d32792ec9da37e4c7bb93d2a28ea8ce1425c064caf7d6b96af95ef32,"4893-4145-4399 1 MOU-10-18-22 (00431801-3xBDBF4) [BP Edit -
 11.15.22].docx",1,docx,19687
c330056ab63903f321eacd685acaa4bed6d8c64ba74b0ee27101ba1584acf925,4852-1927-2701 2 Settlement and Partial Release Agreement.docx,1,docx,18826
9f363cbeecb6c76dda1ea4691804b2db25b16ea309e2fb7b52649831881611a9,Settlement and Partial Release Agreement.docx,1,docx,18828
54cab9fe985c83da4c80fa5e8bdb337d985d0c2f978e0dded035c0e8e65a21e2,Plan Administrator Agreement.docx,1,docx,34645
49277aa29a81acf4dfb85ab2a23843adbfa0e9bf7fa497ae24eb5de797b57772,Settlement and Partial Release Agreement (clean).docx,1,docx,20793
03ccdf88f1240a69886c1f351b0b9cc8345853e7fd618d196d5163c958f42f09,"6 Valentine Farm Ct, Missing support and Difference to be
 reconciled ver 1.xlsx",1,xlsx,54523
0107d9d6ea72f3892b62e268e6add5b1b154feb343b0a2502233aef0e29c3694,Settlement and Partial Release Agreement.docx,1,docx,20790
50bd992e1a7237c2c88b999029ef490b01f6b57a1c79cdb985878a3a88dcc7a1,4836-2438-4982 2 Verified Complaint.docx,1,docx,35313
fc8cd82d10c4f4993c8dce1dafaf59f9224530201954e521a8bc4f7b97961724,"MangoTree list of 2nd set of properties for mediation July 9
 2021.xlsx",1,xlsx,15230
9f639ab4dea959cfdca8198eae18b8937de45a34e90773f096f9abbcee0ea4de,"4824-6428-9249 1 4838-7952-3041 2 Certification of Rakesh iso OTSC
 (clean for first review) revised fha - JP.docx",1,docx,42341
fa51dc07a66287eaddbfc1392c3cbacc3c34642be109935b56635c60cb3e6181,"4825-6140-4898 1 Certification of Rakesh iso OTSC (clean and
 final).docx",1,docx,41989
cf7116d52612da499dabea7976d0a46a5036d1e748bd3a1659161695ec5e93ca,"4825-6140-4898 1 Certification of Rakesh iso OTSC (clean and
 final).docx",1,docx,42787
3c1764f6f536776c41b235b2372ab57888ff3de4bae093d9b6188566f6178682,"4825-6140-4898 1 Certification of Rakesh iso OTSC (clean and
 final).docx",1,docx,41988
c30db8a4cca57e860b0c5b14e7311ced331595de5d0948d86f9ff1502a89eebd,"4838-7952-3041 2 Certification of Rakesh iso OTSC (clean for first
 review).docx",1,docx,42554
0fde225ba40e806c5509ca3f20659d7edcc10c4e42e91837c59d4c1ed380e0a5,Expenses incurred by MT for IPA properties Nov 2021.xlsx,1,xlsx,105378
a6065dc503db8adcd86a7e0be110acd233fe4b8a842bd5b6b2727750dadc54b3,4817-0740-6809 2 Verified Complaint (draft 2.0).docx,1,docx,45118
faa66ba90b3c744e5af9a50f53d50499d27e6d70bf817c7788755c4a2ba84a41,"4812-4371-0938 1 Verified Complaint (for final review
 pre-filing).docx",1,docx,47750
f60322759316d50fea5e4d69e69a6566fd61a7d559b02c59b423d14c20c8e175,4826-5609-8522 1 Verified Complaint (FINAL FOR FILING).docx,1,docx,48375
fa374c74bc3a00266cb237a7ca2ec69ce7f208a839b249796dab2dd864534d38,4817-0740-6809 1 Verified Complaint (draft 2.0).docx,1,docx,45684
f81479527a519f9a3aae4a453b31f6f82123111d590c6b9ddd59e406ba89cec7,"724 Old Post, New Paltz expenses paid by MT and IPA    .xlsx",1,xlsx,73781
107082c8ad8875431f238edd430f7fe6ccc1874220ade4ca86fdb789cfa35337,4846-7921-5070 1 Amended Verified Complaint (clean version).docx,1,docx,70099
ff969dd497e21544f8a76a573dfe83c11229477798c5df05718ec1365540ed94,"4847-2600-7262 1 Amended Verified Complaint (red-lined version for
 final Review).docx",1,docx,70083
146493abc3d54e54a3fc7cf41d67630acad29c62dd936510f13cf312f96af9b0,4841-0761-3921 1 Attorney Affirmation.docx,1,docx,65049
fbf92bf00353a3d31fdfa25cc6eb40998e565cb732041943a60ead7770f36a84,LP Drive By.jpg,1,ocr,2
f48977c68bdc974e628e06d461b36361c949128ba48fc73d70db8f3980a4a9f8,Amended Verified Complaint (Rakesh.Fred Review Set).docx,1,docx,66292
c45886bfbf1ade25a1e7017b267a4a9445b57ac31dadcf7e33cedb6f45186652,IPA properties investment with rent.xlsx,1,xlsx,171100
a0cb56606f29d3a2b087c6eba557f073f6def5d7f7041e51132199036a16f9a1,Fort Hill Interest Per Diem to 8-31-2021 Atika.xlsx,1,xlsx,2113
7998cfc6dcbc0e0d0a2035d823aae307e93ba588f26e62f0357f085e4f275229,"Fort Hill Interest Per Diem to 8-31-2021 Atika   adj by IPA 8-30-21
 (2) with SCM Comments.xlsx",1,xlsx,2286
06c1f5a047b2dd1aae53d91b6ec4d13b9e52051f47e2700e8bfe6e86f65882fc,Firm Foreclosure Policies.docx,1,docx,47000
12f144ea625159d249cd8650c818b0a8c976e0de555f9a58027fc59754a052e8,Joseph 747.82.png,1,ocr,1242
40e8fc091db7fe3e070f205dec1c1716ba9f90dc32bdf1d303ffde431bb4c7f7,MangoTree Rent Schedule .xlsx,1,xlsx,14071
ee92a7b666dce7fed345951e5aa0ea48d7ad05cf78152eaca59247736e55c970,Kim 596.89.png,1,ocr,461
9bfd1fd49a0db8b1307579c06e30bfaa1081dfe279604ceb28742ee260d5856f,Second Sales Contract 2034 Route 44 (different Sales price).pdf,3,ocr,10092
